order_id,order_date,name,city,state,post_code,region,category,sub_category,sales,qty,profit
CA-2016-155488,2016-11-13 00:00:00,Frank Merwin,Vancouver,Washington,98661,West,Office Supplies,Art,44.02,2,11.45
CA-2015-124891,2015-07-31 00:00:00,Rick Hansen,New York City,New York,NULL,East,Technology,Accessories,2309.65,7,762.18
CA-2015-124891,2015-07-31 00:00:00,Rick Hansen,New York City,New York,NULL,East,Furniture,Tables,1090.78,7,-290.88
CA-2015-124891,2015-07-31 00:00:00,Rick Hansen,New York City,New York,NULL,East,Office Supplies,Paper,19.44,3,9.33
CA-2015-126445,2015-08-27 00:00:00,Ryan Akin,Murrieta,California,NULL,West,Office Supplies,Storage,484.65,3,92.08
CA-2015-111199,2015-11-13 00:00:00,Joe Kamberova,Jacksonville,North Carolina,NULL,South,Office Supplies,Paper,115.3,3,40.35
CA-2015-105312,2015-11-06 00:00:00,Meg Tillman,Scottsdale,Arizona,NULL,West,Office Supplies,Envelopes,7.08,3,2.48
CA-2015-105312,2015-11-06 00:00:00,Meg Tillman,Scottsdale,Arizona,NULL,West,Office Supplies,Binders,4.4,3,-3.52
US-2017-106705,2017-12-26 00:00:00,Patrick O'Brill,Burlington,Iowa,NULL,Central,Office Supplies,Paper,44.75,5,20.59
CA-2017-135034,2017-08-01 00:00:00,Annie Thurman,Chicago,Illinois,NULL,Central,Technology,Phones,95.98,2,6
CA-2014-158540,2014-11-24 00:00:00,Vivek Gonzalez,San Diego,California,NULL,West,Furniture,Furnishings,151.72,4,27.31
CA-2017-118437,2017-06-17 00:00:00,Philip Fox,Olympia,Washington,NULL,West,Furniture,Furnishings,155.25,3,46.58
CA-2017-118437,2017-06-17 00:00:00,Philip Fox,Olympia,Washington,NULL,West,Office Supplies,Storage,14.03,1,4.07
US-2015-126214,2015-12-21 00:00:00,John Stevenson,Seattle,Washington,98103,West,Furniture,Tables,1618.37,13,356.04
US-2015-126214,2015-12-21 00:00:00,John Stevenson,Seattle,Washington,98103,West,Technology,Accessories,99.6,1,36.85
CA-2015-133025,2015-09-17 00:00:00,Meg O'Connel,Los Angeles,California,90036,West,Office Supplies,Paper,32.4,5,15.55
CA-2015-108665,2015-07-06 00:00:00,Kalyca Meade,New York City,New York,10011,East,Furniture,Furnishings,13.96,2,6.7
CA-2015-108665,2015-07-06 00:00:00,Kalyca Meade,New York City,New York,10011,East,Furniture,Furnishings,155.82,3,63.89
CA-2015-108665,2015-07-06 00:00:00,Kalyca Meade,New York City,New York,10011,East,Technology,Phones,124.95,5,2.5
CA-2015-108665,2015-07-06 00:00:00,Kalyca Meade,New York City,New York,10011,East,Office Supplies,Storage,601.65,5,156.43
CA-2015-124450,2015-04-27 00:00:00,Greg Tran,Washington,District of Columbia,20016,East,Office Supplies,Art,22.74,3,8.87
