id,order_id,order_date,shipment,customer_id,name,segment,city,state,post_code,region,category,sub_category,sales,qty,profit
1001,CA-2016-155488,13-11-2016,Standard Class,FM-14290,Frank Merwin,Home Office,Vancouver,Washington,98661,West,Office Supplies,Art,44.02,2,11.4452
1002,CA-2015-124891,31-07-2015,Same Day,RH-19495,Rick Hansen,Consumer,New York City,New York,10024,East,Technology,Accessories,2309.65,7,762.1845
1003,CA-2015-124891,31-07-2015,Same Day,RH-19495,Rick Hansen,Consumer,New York City,New York,10024,East,Furniture,Tables,1090.782,7,-290.8752
1004,CA-2015-124891,31-07-2015,Same Day,RH-19495,Rick Hansen,Consumer,New York City,New York,10024,East,Office Supplies,Paper,19.44,3,9.3312
1005,CA-2015-126445,27-08-2015,Standard Class,RA-19945,Ryan Akin,Consumer,Murrieta,California,92563,West,Office Supplies,Storage,484.65,3,92.0835
1006,CA-2015-111199,13-11-2015,Standard Class,JK-15730,Joe Kamberova,Consumer,Jacksonville,North Carolina,28540,South,Office Supplies,Paper,115.296,3,40.3536
1007,CA-2015-105312,06-11-2015,First Class,MT-17815,Meg Tillman,Consumer,Scottsdale,Arizona,85254,West,Office Supplies,Envelopes,7.08,3,2.478
1008,CA-2015-105312,06-11-2015,First Class,MT-17815,Meg Tillman,Consumer,Scottsdale,Arizona,85254,West,Office Supplies,Binders,4.401,3,-3.5208
1009,US-2017-106705,26-12-2017,Standard Class,PO-18850,Patrick O'Brill,Consumer,Burlington,Iowa,52601,Central,Office Supplies,Paper,44.75,5,20.585
1010,CA-2017-135034,01-08-2017,First Class,AT-10735,Annie Thurman,Consumer,Chicago,Illinois,60653,Central,Technology,Phones,95.984,2,5.999
1011,CA-2014-158540,24-11-2014,First Class,VG-21790,Vivek Gonzalez,Consumer,San Diego,California,92037,West,Furniture,Furnishings,151.72,4,27.3096
1012,CA-2017-118437,17-06-2017,Second Class,PF-19165,Philip Fox,Consumer,Olympia,Washington,98502,West,Furniture,Furnishings,155.25,3,46.575
1013,CA-2017-118437,17-06-2017,Second Class,PF-19165,Philip Fox,Consumer,Olympia,Washington,98502,West,Office Supplies,Storage,14.03,1,4.0687
1014,US-2015-126214,21-12-2015,Second Class,JS-15880,John Stevenson,Consumer,Seattle,Washington,98103,West,Furniture,Tables,1618.37,13,356.0414
1015,US-2015-126214,21-12-2015,Second Class,JS-15880,John Stevenson,Consumer,Seattle,Washington,98103,West,Technology,Accessories,99.6,1,36.852
1016,CA-2015-133025,17-09-2015,Second Class,MO-17800,Meg O'Connel,Home Office,Los Angeles,California,90036,West,Office Supplies,Paper,32.4,5,15.552
1017,CA-2015-108665,06-07-2015,Standard Class,KM-16225,Kalyca Meade,Corporate,New York City,New York,10011,East,Furniture,Furnishings,13.96,2,6.7008
1018,CA-2015-108665,06-07-2015,Standard Class,KM-16225,Kalyca Meade,Corporate,New York City,New York,10011,East,Furniture,Furnishings,155.82,3,63.8862
1019,CA-2015-108665,06-07-2015,Standard Class,KM-16225,Kalyca Meade,Corporate,New York City,New York,10011,East,Technology,Phones,124.95,5,2.499
1020,CA-2015-108665,06-07-2015,Standard Class,KM-16225,Kalyca Meade,Corporate,New York City,New York,10011,East,Office Supplies,Storage,601.65,5,156.429
